i:0, m:s, fps:0, rand:0.38080763816833496, p:1.0, time:3.570619583129883
i:1, m:s, fps:0.2798624036182772, rand:0.8765550851821899, p:1.0, time:8.304571390151978
i:2, m:s, fps:0.211268030588225, rand:0.8358396291732788, p:1.0, time:8.663301467895508
i:3, m:s, fps:0.211268030588225, rand:0.4123464822769165, p:1.0, time:9.042069911956787
i:4, m:s, fps:0.211268030588225, rand:0.960465133190155, p:1.0, time:9.393032550811768
i:5, m:s, fps:2.756162968502245, rand:0.844445526599884, p:1.0, time:9.743818759918213
i:6, m:s, fps:2.756162968502245, rand:0.8800605535507202, p:1.0, time:10.095405101776123
i:7, m:s, fps:2.756162968502245, rand:0.8801280856132507, p:1.0, time:10.445912837982178
i:8, m:s, fps:2.8490119522128845, rand:0.6409018039703369, p:1.0, time:10.79547929763794
i:9, m:s, fps:2.8490119522128845, rand:0.020060360431671143, p:1.0, time:11.147759437561035
i:10, m:s, fps:2.8490119522128845, rand:0.3255605697631836, p:1.0, time:11.474864959716797
i:11, m:s, fps:2.916447809867504, rand:0.8823739290237427, p:1.0, time:11.774955749511719
i:12, m:s, fps:2.916447809867504, rand:0.5791022777557373, p:1.0, time:12.124915838241577
i:13, m:s, fps:2.916447809867504, rand:0.1360945701599121, p:1.0, time:12.474419832229614
i:14, m:s, fps:2.916447809867504, rand:0.3903437852859497, p:1.0, time:12.826636791229248
i:15, m:s, fps:2.958652408227759, rand:0.09539896249771118, p:1.0, time:13.177770614624023
i:16, m:s, fps:2.958652408227759, rand:0.23629248142242432, p:1.0, time:13.52992844581604
i:17, m:s, fps:2.958652408227759, rand:0.8714463710784912, p:1.0, time:13.882259368896484
i:18, m:s, fps:2.8417675678495664, rand:0.548471987247467, p:1.0, time:14.235623121261597
i:19, m:s, fps:2.8417675678495664, rand:0.7209076285362244, p:1.0, time:14.585089206695557
i:20, m:s, fps:2.8417675678495664, rand:0.8684715628623962, p:1.0, time:14.923979043960571
i:21, m:s, fps:2.880519966906868, rand:0.3966773748397827, p:1.0, time:15.209503889083862
i:22, m:s, fps:2.880519966906868, rand:0.22212105989456177, p:1.0, time:15.559450387954712
i:23, m:s, fps:2.880519966906868, rand:0.8240812420845032, p:1.0, time:15.910176277160645
i:24, m:s, fps:2.880519966906868, rand:0.9240439534187317, p:1.0, time:16.261293172836304
i:25, m:s, fps:2.9907792771987256, rand:0.7113988995552063, p:1.0, time:16.611403226852417
i:26, m:s, fps:2.9907792771987256, rand:0.06994050741195679, p:1.0, time:16.9626681804657
i:27, m:s, fps:2.9907792771987256, rand:0.35781407356262207, p:1.0, time:17.3154079914093
i:28, m:s, fps:2.845932491014657, rand:0.6067972779273987, p:1.0, time:17.666239738464355
i:29, m:s, fps:2.845932491014657, rand:0.12445998191833496, p:1.0, time:18.018709659576416
i:30, m:s, fps:2.845932491014657, rand:0.4187232255935669, p:1.0, time:18.368542194366455
i:31, m:s, fps:2.849042915947778, rand:0.5958974957466125, p:1.0, time:18.639738082885742
i:32, m:s, fps:2.849042915947778, rand:0.8474158644676208, p:1.0, time:18.992416620254517
i:33, m:s, fps:2.849042915947778, rand:0.8255419731140137, p:1.0, time:19.343104362487793
i:34, m:s, fps:2.849042915947778, rand:0.10533404350280762, p:1.0, time:19.693891286849976
i:35, m:s, fps:3.0174843493733183, rand:0.4812392592430115, p:1.0, time:20.045238494873047
i:36, m:s, fps:3.0174843493733183, rand:0.9036540389060974, p:1.0, time:20.395801544189453
i:37, m:s, fps:3.0174843493733183, rand:0.18420636653900146, p:1.0, time:20.746132850646973
i:38, m:s, fps:2.851080905509447, rand:0.33940720558166504, p:1.0, time:21.09814763069153
i:39, m:s, fps:2.851080905509447, rand:0.907126247882843, p:1.0, time:21.44890594482422
i:40, m:s, fps:2.851080905509447, rand:0.7857553362846375, p:1.0, time:21.80814218521118
i:41, m:s, fps:2.825090789484024, rand:0.23710578680038452, p:1.0, time:22.078572988510132
i:42, m:s, fps:2.825090789484024, rand:0.6186191439628601, p:1.0, time:22.495070219039917
i:43, m:s, fps:2.825090789484024, rand:0.6873230934143066, p:1.0, time:22.887951850891113
i:44, m:s, fps:2.7782330552652112, rand:0.27155929803848267, p:1.0, time:23.240118980407715
i:45, m:s, fps:2.7782330552652112, rand:0.8492216467857361, p:1.0, time:23.59277319908142
i:46, m:s, fps:2.7782330552652112, rand:0.016483604907989502, p:1.0, time:23.94283390045166
i:47, m:s, fps:2.8439108511450986, rand:0.23852938413619995, p:1.0, time:24.312458515167236
i:48, m:s, fps:2.8439108511450986, rand:0.16993916034698486, p:1.0, time:24.662614107131958
i:49, m:s, fps:2.8439108511450986, rand:0.8752807378768921, p:1.0, time:25.011876344680786
i:50, m:s, fps:2.806201474319832, rand:0.4205923080444336, p:1.0, time:25.33105444908142
i:51, m:s, fps:2.806201474319832, rand:0.002914607524871826, p:1.0, time:25.63760733604431
i:52, m:s, fps:2.806201474319832, rand:0.9068171381950378, p:1.0, time:25.989482641220093
i:53, m:s, fps:2.806201474319832, rand:0.5900485515594482, p:1.0, time:26.339136123657227
i:54, m:s, fps:3.0137957025985815, rand:0.6559481620788574, p:1.0, time:26.69072198867798
i:55, m:s, fps:3.0137957025985815, rand:0.9158079624176025, p:1.0, time:27.0424964427948
i:56, m:s, fps:3.0137957025985815, rand:0.471884548664093, p:1.0, time:27.394734382629395
i:57, m:s, fps:2.842187363415148, rand:0.35298287868499756, p:1.0, time:27.74573302268982
i:58, m:s, fps:2.842187363415148, rand:0.8813742995262146, p:1.0, time:28.097427129745483
i:59, m:s, fps:2.842187363415148, rand:0.7054561376571655, p:1.0, time:28.448457956314087
i:60, m:s, fps:2.846886096157231, rand:0.03518259525299072, p:1.0, time:28.779547691345215
i:61, m:s, fps:2.846886096157231, rand:0.46737366914749146, p:1.0, time:29.07345223426819
i:62, m:s, fps:2.846886096157231, rand:0.7569991946220398, p:1.0, time:29.424541473388672
i:63, m:s, fps:2.846886096157231, rand:0.507864773273468, p:1.0, time:29.775397062301636
i:64, m:s, fps:3.014416259706845, rand:0.5514364242553711, p:1.0, time:30.126251459121704
i:65, m:s, fps:3.014416259706845, rand:0.4979475140571594, p:1.0, time:30.476304531097412
i:66, m:s, fps:3.014416259706845, rand:0.5778557062149048, p:1.0, time:30.827032566070557
i:67, m:s, fps:2.8526315216740756, rand:0.7857203483581543, p:1.0, time:31.177337408065796
i:68, m:s, fps:2.8526315216740756, rand:0.1451343297958374, p:1.0, time:31.529869079589844
i:69, m:s, fps:2.8526315216740756, rand:0.9654571413993835, p:1.0, time:31.88124918937683
i:70, m:s, fps:2.8458063359042947, rand:0.1392834186553955, p:1.0, time:32.224260330200195
i:71, m:s, fps:2.8458063359042947, rand:0.8880279660224915, p:1.0, time:32.506577253341675
i:72, m:s, fps:2.8458063359042947, rand:0.14094793796539307, p:1.0, time:32.85823607444763
i:73, m:s, fps:2.8458063359042947, rand:0.7525957822799683, p:1.0, time:33.20879650115967
i:74, m:s, fps:3.013085570384823, rand:0.288124680519104, p:1.0, time:33.55992317199707
i:75, m:s, fps:3.013085570384823, rand:0.24815791845321655, p:1.0, time:33.90935182571411
i:76, m:s, fps:3.013085570384823, rand:0.6520939469337463, p:1.0, time:34.25986886024475
i:77, m:s, fps:2.853904816857095, rand:0.5626039505004883, p:1.0, time:34.611613273620605
i:78, m:s, fps:2.853904816857095, rand:0.23247438669204712, p:1.0, time:34.961780071258545
i:79, m:s, fps:2.853904816857095, rand:0.5761791467666626, p:1.0, time:35.31235957145691
i:80, m:s, fps:2.8506733327080522, rand:0.07584327459335327, p:1.0, time:35.663806676864624
i:81, m:s, fps:2.8506733327080522, rand:0.9951391816139221, p:1.0, time:35.92989540100098
i:82, m:s, fps:2.8506733327080522, rand:0.7402820587158203, p:1.0, time:36.282413482666016
i:83, m:s, fps:2.8506733327080522, rand:0.27232158184051514, p:1.0, time:36.63323926925659
i:84, m:s, fps:3.028282133997187, rand:0.7245515584945679, p:1.0, time:36.985527992248535
i:85, m:s, fps:3.028282133997187, rand:0.42491233348846436, p:1.0, time:37.33722448348999
i:86, m:s, fps:3.028282133997187, rand:0.6484024524688721, p:1.0, time:37.68930721282959
i:87, m:s, fps:2.8407449156676883, rand:0.6117902994155884, p:1.0, time:38.04055142402649
i:88, m:s, fps:2.8407449156676883, rand:0.33510148525238037, p:1.0, time:38.39049959182739
i:89, m:s, fps:2.8407449156676883, rand:0.6797239780426025, p:1.0, time:38.740185022354126
i:90, m:s, fps:2.854679183814221, rand:0.9275801777839661, p:1.0, time:39.12150979042053
i:91, m:s, fps:2.854679183814221, rand:0.5745562314987183, p:1.0, time:39.38624930381775
i:92, m:s, fps:2.854679183814221, rand:0.4867027997970581, p:1.0, time:39.742042779922485
i:93, m:s, fps:2.994198358045617, rand:0.1349351406097412, p:1.0, time:40.092430114746094
i:94, m:s, fps:2.994198358045617, rand:0.8164215087890625, p:1.0, time:40.44452214241028
i:95, m:s, fps:2.994198358045617, rand:0.6438853144645691, p:1.0, time:40.79588317871094
i:96, m:s, fps:2.846925387317371, rand:0.2889558672904968, p:1.0, time:41.147894620895386
i:97, m:s, fps:2.846925387317371, rand:0.9930499792098999, p:1.0, time:41.49925756454468
i:98, m:s, fps:2.846925387317371, rand:0.15014737844467163, p:1.0, time:41.84914588928223
i:99, m:s, fps:2.8483844365703157, rand:0.4182039499282837, p:1.0, time:42.200242042541504
i:100, m:s, fps:2.8483844365703157, rand:0.5423628687858582, p:1.0, time:42.55191111564636
i:101, m:s, fps:2.8483844365703157, rand:0.9781967997550964, p:1.0, time:42.8154571056366
i:102, m:s, fps:2.8483844365703157, rand:0.49972665309906006, p:1.0, time:43.16598701477051
i:103, m:s, fps:3.0373846783594605, rand:0.16738003492355347, p:1.0, time:43.51630401611328
i:104, m:s, fps:3.0373846783594605, rand:0.2385299801826477, p:1.0, time:43.86619758605957
i:105, m:s, fps:3.0373846783594605, rand:0.30866605043411255, p:1.0, time:44.21697115898132
i:106, m:s, fps:2.8547245193125743, rand:0.7409524321556091, p:1.0, time:44.568981885910034
i:107, m:s, fps:2.8547245193125743, rand:0.5713057518005371, p:1.0, time:44.92055344581604
i:108, m:s, fps:2.8547245193125743, rand:0.7618699669837952, p:1.0, time:45.273285150527954
i:109, m:s, fps:2.8400030876193236, rand:0.11491334438323975, p:1.0, time:45.625324964523315
