i:67, m:t, fps:0.3381181565560623, rand:0.4477400779724121, p:0.0, time:209.58423447608948
i:68, m:t, fps:0.3382837417406155, rand:0.4710308909416199, p:0.0, time:212.57894206047058
i:69, m:t, fps:0.33390652186650566, rand:0.7248764634132385, p:0.0, time:215.5340118408203
i:70, m:t, fps:0.33841609188242694, rand:0.7351813316345215, p:0.0, time:218.48863124847412
i:71, m:t, fps:0.3384482602244474, rand:0.24006307125091553, p:0.0, time:221.4403898715973
i:72, m:t, fps:0.33878158127806063, rand:0.4327855706214905, p:0.0, time:224.48904871940613
i:73, m:t, fps:0.32801044489741815, rand:0.4358413815498352, p:0.0, time:227.4579041004181
i:74, m:t, fps:0.33683396293055146, rand:0.11023908853530884, p:0.0, time:230.40910744667053
i:75, m:t, fps:0.3388432983527625, rand:0.5267365574836731, p:0.0, time:233.35947394371033
i:76, m:t, fps:0.338939353485699, rand:0.6558877825737, p:0.0, time:236.31645512580872
i:77, m:t, fps:0.33818374947318836, rand:0.8638368844985962, p:0.0, time:239.26838755607605
i:78, m:t, fps:0.338762126587055, rand:0.735495388507843, p:0.0, time:242.2220184803009
i:79, m:t, fps:0.3385683857359224, rand:0.6780734658241272, p:0.0, time:245.28255128860474
i:80, m:t, fps:0.32673850809421573, rand:0.21519839763641357, p:0.0, time:248.24902176856995
i:81, m:t, fps:0.33709888521907627, rand:0.15879303216934204, p:0.0, time:251.21015620231628
i:82, m:t, fps:0.3377102857052219, rand:0.9145863056182861, p:0.0, time:254.16083359718323
i:83, m:t, fps:0.3389040247147684, rand:0.4562283754348755, p:0.0, time:257.1137444972992
i:84, m:t, fps:0.3386486990785047, rand:0.9319843649864197, p:0.0, time:260.09478425979614
i:85, m:t, fps:0.335445806275613, rand:0.3840011954307556, p:0.0, time:263.0477249622345
i:86, m:t, fps:0.33865783173446046, rand:0.5181326270103455, p:0.0, time:266.0940113067627
i:87, m:t, fps:0.32826379664584737, rand:0.6784840822219849, p:0.0, time:269.06857085227966
i:88, m:t, fps:0.3361868941820638, rand:0.34894341230392456, p:0.0, time:272.10141372680664
i:89, m:t, fps:0.3297230982668702, rand:0.3806191682815552, p:0.0, time:275.0932230949402
i:90, m:t, fps:0.33424482958175883, rand:0.9087272882461548, p:0.0, time:278.0518448352814
i:91, m:t, fps:0.33792123090448367, rand:0.21572023630142212, p:0.0, time:281.0142605304718
i:92, m:t, fps:0.3376353633321889, rand:0.0018337368965148926, p:0.0, time:283.97440576553345
i:93, m:t, fps:0.33782362954146145, rand:0.19205254316329956, p:0.0, time:287.0087687969208
i:94, m:t, fps:0.32957420197788334, rand:0.33656495809555054, p:0.0, time:290.01628518104553
i:95, m:t, fps:0.3324828972777617, rand:0.511620044708252, p:0.0, time:292.88782238960266
i:96, m:t, fps:0.34824688997964387, rand:0.5555545091629028, p:0.0, time:295.84621572494507
i:97, m:t, fps:0.33801774456478817, rand:0.1344040036201477, p:0.0, time:298.80800318717957
i:98, m:t, fps:0.33763707562763823, rand:0.9472798705101013, p:0.0, time:301.7660517692566
i:99, m:t, fps:0.3380540876352582, rand:0.29708677530288696, p:0.0, time:304.727703332901
i:100, m:t, fps:0.33765419953739734, rand:0.38114237785339355, p:0.0, time:307.7844293117523
i:101, m:t, fps:0.32714766940169543, rand:0.7452369332313538, p:0.0, time:310.7570927143097
i:102, m:t, fps:0.33640271207234074, rand:0.6709356307983398, p:0.0, time:313.7268216609955
i:103, m:t, fps:0.33671903844379963, rand:0.9626986980438232, p:0.0, time:316.67473244667053
i:104, m:t, fps:0.3392327021857086, rand:0.7104027271270752, p:0.0, time:319.6428678035736
i:105, m:t, fps:0.33690433542122844, rand:0.9461971521377563, p:0.0, time:322.5989348888397
i:106, m:t, fps:0.3382877524835812, rand:0.5223817825317383, p:0.0, time:325.5613634586334
i:107, m:t, fps:0.33756609787870295, rand:0.8084850907325745, p:0.0, time:328.6138150691986
i:108, m:t, fps:0.327624764512358, rand:0.13410091400146484, p:0.0, time:331.62760400772095
i:109, m:t, fps:0.3317890518814335, rand:0.6357730031013489, p:0.0, time:334.5091655254364
