i:0, m:t, fps:0, rand:0.7775238752365112, p:0.75, time:5.131733655929565
i:1, m:s, fps:0.19477013681587188, rand:0.5580713748931885, p:0.75, time:8.435511350631714
i:2, m:t, fps:0.3027633344805841, rand:0.8512353301048279, p:0.75, time:12.84168004989624
i:3, m:s, fps:0.22694496377503431, rand:0.7391073703765869, p:0.75, time:16.037659645080566
i:4, m:s, fps:0.3129117159785209, rand:0.15695059299468994, p:0.75, time:16.18829607963562
i:5, m:s, fps:0.3129117159785209, rand:0.1728110909461975, p:0.75, time:16.336060047149658
i:6, m:s, fps:0.3129117159785209, rand:0.3594929575920105, p:0.75, time:16.484200477600098
i:7, m:s, fps:0.3129117159785209, rand:0.1989119052886963, p:0.75, time:16.6318359375
i:8, m:s, fps:0.3129117159785209, rand:0.6086820363998413, p:0.75, time:16.776843547821045
i:9, m:s, fps:0.3129117159785209, rand:0.21878397464752197, p:0.75, time:16.924155950546265
i:10, m:t, fps:0.3129117159785209, rand:0.7594962120056152, p:0.75, time:18.345695972442627
i:11, m:s, fps:3.032643747306681, rand:0.2829516530036926, p:0.75, time:18.62632656097412
i:12, m:t, fps:3.032643747306681, rand:0.860716700553894, p:0.75, time:20.14412236213684
i:13, m:s, fps:1.1120759540019967, rand:0.33657240867614746, p:0.75, time:20.418946743011475
i:14, m:s, fps:1.1120759540019967, rand:0.24804896116256714, p:0.75, time:20.56599712371826
i:15, m:t, fps:1.1120759540019967, rand:0.8954691886901855, p:0.75, time:22.054998636245728
i:16, m:t, fps:1.569971327828476, rand:0.7813138961791992, p:0.75, time:23.58979082107544
i:17, m:s, fps:0.6515702029989631, rand:0.12430828809738159, p:0.75, time:23.87083077430725
i:18, m:s, fps:0.6515702029989631, rand:0.514137327671051, p:0.75, time:24.071030616760254
i:19, m:s, fps:0.6515702029989631, rand:0.28255248069763184, p:0.75, time:24.21897315979004
i:20, m:s, fps:0.6515702029989631, rand:0.47672998905181885, p:0.75, time:24.365455150604248
