i:67, m:s, fps:1.1403843529073343, rand:0.18078815937042236, p:0.5, time:70.63633489608765
i:68, m:t, fps:1.1403843529073343, rand:0.7134044170379639, p:0.5, time:72.17734098434448
i:69, m:s, fps:1.4264553023685809, rand:0.15562397241592407, p:0.5, time:72.45935440063477
i:70, m:t, fps:1.4264553023685809, rand:0.790522575378418, p:0.5, time:73.92513966560364
i:71, m:t, fps:1.144284374161509, rand:0.7402697205543518, p:0.5, time:75.46855902671814
i:72, m:t, fps:0.647917953642158, rand:0.5241426229476929, p:0.5, time:76.92520308494568
i:73, m:t, fps:0.6865078254419299, rand:0.9290999174118042, p:0.5, time:78.48992681503296
i:74, m:s, fps:0.6390321299862299, rand:0.44895291328430176, p:0.5, time:78.77180051803589
i:75, m:s, fps:0.6390321299862299, rand:0.22671794891357422, p:0.5, time:79.05359959602356
i:76, m:t, fps:0.6390321299862299, rand:0.8489632606506348, p:0.5, time:80.50961804389954
i:77, m:t, fps:1.4854667494778164, rand:0.7868943214416504, p:0.5, time:82.06645393371582
i:78, m:t, fps:0.6423338705636386, rand:0.5129987001419067, p:0.5, time:83.51862668991089
i:79, m:t, fps:0.6885867870856487, rand:0.9491631388664246, p:0.5, time:85.06221890449524
i:80, m:s, fps:0.6478652117889947, rand:0.49229365587234497, p:0.5, time:85.34286832809448
i:81, m:t, fps:0.6478652117889947, rand:0.6631926894187927, p:0.5, time:86.78385210037231
i:82, m:t, fps:1.1616971292317928, rand:0.947294294834137, p:0.5, time:88.2910099029541
i:83, m:s, fps:0.6634783837041018, rand:0.0682799220085144, p:0.5, time:88.56976962089539
i:84, m:s, fps:0.6634783837041018, rand:0.09944313764572144, p:0.5, time:88.84833431243896
i:85, m:s, fps:0.6634783837041018, rand:0.08953779935836792, p:0.5, time:89.12698078155518
i:86, m:t, fps:0.6634783837041018, rand:0.8501136302947998, p:0.5, time:90.58287167549133
i:87, m:s, fps:1.7452407770876563, rand:0.340118408203125, p:0.5, time:90.86376023292542
