i:0, m:t, fps:0, rand:0.6376265287399292, p:0.25, time:5.092023849487305
i:1, m:t, fps:0.19628608162522457, rand:0.6671975255012512, p:0.25, time:10.34531545639038
i:2, m:t, fps:0.19038090533494056, rand:0.9106019735336304, p:0.25, time:11.854781150817871
i:3, m:t, fps:0.6624936069420001, rand:0.8813387751579285, p:0.25, time:13.312683343887329
i:4, m:t, fps:0.6859124705679186, rand:0.5389721989631653, p:0.25, time:14.839620590209961
i:5, m:t, fps:0.6549028982427422, rand:0.2561712861061096, p:0.25, time:16.26399564743042
i:6, m:t, fps:0.7020558165895784, rand:0.4970073103904724, p:0.25, time:17.800384759902954
i:7, m:t, fps:0.6508821343165689, rand:0.9265176057815552, p:0.25, time:19.24511742591858
i:8, m:t, fps:0.692248288856221, rand:0.30722498893737793, p:0.25, time:20.75252079963684
i:9, m:t, fps:0.6633140684663199, rand:0.8604962825775146, p:0.25, time:22.39100193977356
i:10, m:t, fps:0.6103231131265544, rand:0.7450131177902222, p:0.25, time:23.851065635681152
i:11, m:t, fps:0.6848574525345237, rand:0.3427804112434387, p:0.25, time:25.393205165863037
i:12, m:s, fps:0.6484944701067882, rand:0.111641526222229, p:0.25, time:28.22509264945984
i:13, m:s, fps:0.35314319710184244, rand:0.2445307970046997, p:0.25, time:30.59316897392273
i:14, m:t, fps:0.42228309119425367, rand:0.6986726522445679, p:0.25, time:32.104690074920654
i:15, m:t, fps:0.6615013162038885, rand:0.591297447681427, p:0.25, time:33.623876333236694
i:16, m:t, fps:0.6582117021997805, rand:0.9041730165481567, p:0.25, time:35.0737464427948
i:17, m:t, fps:0.6897631212002259, rand:0.3802419900894165, p:0.25, time:36.5989990234375
i:18, m:t, fps:0.6556318823462104, rand:0.4188016653060913, p:0.25, time:38.04433059692383
i:19, m:t, fps:0.6918836743123564, rand:0.6467568278312683, p:0.25, time:39.58707118034363
i:20, m:t, fps:0.6481736781746502, rand:0.8459569215774536, p:0.25, time:41.05552625656128
i:21, m:s, fps:0.6810089242397576, rand:0.08747303485870361, p:0.25, time:41.33646106719971
i:22, m:t, fps:0.6810089242397576, rand:0.5199115872383118, p:0.25, time:42.844852447509766
i:23, m:t, fps:1.1177443985917015, rand:0.3495962619781494, p:0.25, time:44.34135174751282
i:24, m:t, fps:0.6682289408829127, rand:0.669702410697937, p:0.25, time:45.755112648010254
i:25, m:s, fps:0.707309089713311, rand:0.01758486032485962, p:0.25, time:46.031001567840576
i:26, m:t, fps:0.707309089713311, rand:0.9787937998771667, p:0.25, time:47.52080512046814
i:27, m:t, fps:1.1327184311717506, rand:0.825766921043396, p:0.25, time:48.92255163192749
i:28, m:t, fps:0.7134050904924656, rand:0.5600619316101074, p:0.25, time:50.41466236114502
i:29, m:t, fps:0.6701933688901018, rand:0.3960474729537964, p:0.25, time:51.81540536880493
i:30, m:t, fps:0.7139062222613324, rand:0.5258190631866455, p:0.25, time:53.338597536087036
i:31, m:t, fps:0.656510945751771, rand:0.38414067029953003, p:0.25, time:54.818114042282104
i:32, m:t, fps:0.6759465870072305, rand:0.6905323266983032, p:0.25, time:56.26252198219299
i:33, m:t, fps:0.692269654642888, rand:0.6022763252258301, p:0.25, time:57.75766348838806
i:34, m:s, fps:0.6688392000025514, rand:0.15055954456329346, p:0.25, time:58.03496336936951
i:35, m:t, fps:0.6688392000025514, rand:0.5856342911720276, p:0.25, time:59.43660306930542
i:36, m:t, fps:1.191240444708893, rand:0.9501441121101379, p:0.25, time:60.92940545082092
i:37, m:t, fps:0.6698643423387942, rand:0.7203010320663452, p:0.25, time:62.32893705368042
i:38, m:t, fps:0.7145318324368829, rand:0.29430294036865234, p:0.25, time:63.82133674621582
i:39, m:t, fps:0.6700481891718539, rand:0.7454497814178467, p:0.25, time:65.24938988685608
i:40, m:s, fps:0.7003411619811439, rand:0.20848959684371948, p:0.25, time:65.51986479759216
i:41, m:t, fps:0.7003411619811439, rand:0.9720032811164856, p:0.25, time:67.01299834251404
i:42, m:t, fps:1.1339522576896817, rand:0.4052971601486206, p:0.25, time:68.52934789657593
i:43, m:t, fps:0.6594730509848612, rand:0.9368441700935364, p:0.25, time:69.93592119216919
i:44, m:t, fps:0.7109089839738424, rand:0.6029857993125916, p:0.25, time:71.4273841381073
i:45, m:t, fps:0.6705169304444258, rand:0.6371026039123535, p:0.25, time:72.83024263381958
i:46, m:t, fps:0.712852803845931, rand:0.6493126153945923, p:0.25, time:74.32001233100891
i:47, m:t, fps:0.671182605564779, rand:0.45500099658966064, p:0.25, time:75.70953249931335
i:48, m:t, fps:0.7197246369077352, rand:0.8647741079330444, p:0.25, time:77.2014992237091
i:49, m:t, fps:0.6702545216528935, rand:0.689809262752533, p:0.25, time:78.69151258468628
i:50, m:t, fps:0.6711367470820309, rand:0.8437179923057556, p:0.25, time:80.09610176086426
i:51, m:s, fps:0.7118964827496426, rand:0.10766446590423584, p:0.25, time:80.37707114219666
i:52, m:t, fps:0.7118964827496426, rand:0.9098179340362549, p:0.25, time:81.8763792514801
i:53, m:t, fps:1.1234810065381642, rand:0.7731264233589172, p:0.25, time:83.2882091999054
i:54, m:t, fps:0.7082949785795983, rand:0.657108724117279, p:0.25, time:84.77934169769287
i:55, m:t, fps:0.6706302508109657, rand:0.9101678133010864, p:0.25, time:86.18007826805115
i:56, m:t, fps:0.7139105967529805, rand:0.7856627702713013, p:0.25, time:87.6711597442627
i:57, m:t, fps:0.6706592034988157, rand:0.286391019821167, p:0.25, time:89.16057920455933
i:58, m:t, fps:0.6714046836126701, rand:0.7971579432487488, p:0.25, time:90.56701707839966
i:59, m:t, fps:0.7110207001537552, rand:0.7968157529830933, p:0.25, time:92.06178593635559
i:60, m:t, fps:0.6689935662285135, rand:0.913877010345459, p:0.25, time:93.45860838890076
i:61, m:t, fps:0.7158934928735016, rand:0.4865032434463501, p:0.25, time:94.95172834396362
i:62, m:t, fps:0.6697209091704557, rand:0.34042561054229736, p:0.25, time:96.38809084892273
i:63, m:t, fps:0.6962894149434725, rand:0.3523333668708801, p:0.25, time:97.86584448814392
i:64, m:t, fps:0.676608138551044, rand:0.5784757733345032, p:0.25, time:99.35532069206238
i:65, m:t, fps:0.6714095200378165, rand:0.30685144662857056, p:0.25, time:100.7542781829834
i:66, m:s, fps:0.7148384699747847, rand:0.15538716316223145, p:0.25, time:101.03644514083862
i:67, m:t, fps:0.7148384699747847, rand:0.702835738658905, p:0.25, time:102.52510356903076
i:68, m:t, fps:1.1294165292696674, rand:0.4145659804344177, p:0.25, time:103.92109537124634
i:69, m:t, fps:0.7163403774057958, rand:0.9815356731414795, p:0.25, time:105.41483664512634
i:70, m:t, fps:0.6694678850290601, rand:0.536641538143158, p:0.25, time:106.8177125453949
i:71, m:t, fps:0.7127930796445198, rand:0.5697017908096313, p:0.25, time:108.30831170082092
i:72, m:t, fps:0.6708879103372271, rand:0.438316285610199, p:0.25, time:109.80075311660767
i:73, m:t, fps:0.6700311700062493, rand:0.4340031147003174, p:0.25, time:111.20288681983948
i:74, m:s, fps:0.7131651559905952, rand:0.17874425649642944, p:0.25, time:111.4832055568695
i:75, m:t, fps:0.7131651559905952, rand:0.25609439611434937, p:0.25, time:112.99044990539551
i:76, m:t, fps:1.1188935654277876, rand:0.2890912890434265, p:0.25, time:114.39112663269043
i:77, m:t, fps:0.7139367233053998, rand:0.37191128730773926, p:0.25, time:115.8818781375885
i:78, m:t, fps:0.6707956364659916, rand:0.972726047039032, p:0.25, time:117.27278709411621
i:79, m:t, fps:0.7189745293363715, rand:0.7167617678642273, p:0.25, time:118.76470160484314
i:80, m:t, fps:0.6702573064576545, rand:0.622218668460846, p:0.25, time:120.25703263282776
i:81, m:t, fps:0.6701165956709835, rand:0.451430082321167, p:0.25, time:121.66348481178284
i:82, m:t, fps:0.711027450044364, rand:0.2672313451766968, p:0.25, time:123.15354466438293
i:83, m:t, fps:0.67107822486595, rand:0.3226635456085205, p:0.25, time:124.55418038368225
i:84, m:t, fps:0.7139701437760836, rand:0.3700665235519409, p:0.25, time:126.04245519638062
i:85, m:t, fps:0.6719083682092153, rand:0.28762340545654297, p:0.25, time:127.5127124786377
i:86, m:t, fps:0.6802374528072844, rand:0.4181555509567261, p:0.25, time:128.96740341186523
i:87, m:t, fps:0.6873449530020573, rand:0.49187082052230835, p:0.25, time:130.45527362823486
i:88, m:t, fps:0.6720980775446258, rand:0.2530333399772644, p:0.25, time:131.85516381263733
i:89, m:s, fps:0.7143665667977153, rand:0.2447338104248047, p:0.25, time:132.13036727905273
